Thu, 2013.02.21 7:00, 7:00, CHF, medium, Trade Balance, 0.90B, 1.74B, 2.13B
Wed, 2013.02.27 23:50, 23:50, JPY, medium, Prelim Industrial Production m/m, 2.5%, 1.6%, 1.0%
Thu, 2013.02.28 0:00, 0:00, AUD, medium, HIA New Home Sales m/m, 6.2%, , 4.2%
Thu, 2013.02.28 0:00, 0:00, NZD, high, ANZ Business Confidence, 22.7, , 39.4
Thu, 2013.02.28 0:01, 0:01, GBP, low, GfK Consumer Confidence, -26, -26, -26
Thu, 2013.02.28 0:30, 0:30, AUD, high, Private Capital Expenditure q/q, 1.1%, 1.1%, -1.2%
Thu, 2013.02.28 0:30, 0:30, AUD, medium, Private Sector Credit m/m, 0.4%, 0.3%, 0.2%
Thu, 2013.02.28 17:00, 17:00, JPY, low, Housing Starts y/y, 10.0%, 8.9%, 5.0%
Thu, 2013.02.28 6:45, 6:45, CHF, medium, GDP q/q, 0.6%, 0.0%, 0.2%
Thu, 2013.02.28 5:00, 5:00, EUR, medium, German Prelim CPI m/m, -0.5%, 0.7%, 0.6%
Thu, 2013.02.28 7:45, 7:45, EUR, medium, French Consumer Spending m/m, 0.2%, -0.1%, -0.8%
Thu, 2013.02.28 8:00, 8:00, EUR, low, Spanish Flash CPI y/y, 2.7%, 2.6%, 2.7%
Thu, 2013.02.28 8:55, 8:55, EUR, medium, German Unemployment Change, -14K, -5K, -3K
Thu, 2013.02.28 10:00, 10:00, EUR, medium, Final CPI y/y, 2.0%, 2.0%, 2.0%
Thu, 2013.02.28 10:00, 10:00, EUR, medium, Final Core CPI y/y, 1.5%, 1.5%, 1.3%
Thu, 2013.02.28 13:30, 13:30, CAD, medium, Current Account, -18.0B, -16.9B, -17.3B
Thu, 2013.02.28 13:30, 13:30, CAD, medium, RMPI m/m, -2.0%, 1.4%, 3.8%
Thu, 2013.02.28 13:30, 13:30, CAD, low, IPPI m/m, 0.0%, 0.2%, 0.0%
Thu, 2013.02.28 13:30, 13:30, USD, high, Prelim GDP q/q, -0.1%, 0.5%, 0.1%
Thu, 2013.02.28 13:30, 13:30, USD, high, Unemployment Claims, 366K, 361K, 344K
Thu, 2013.02.28 13:30, 13:30, USD, low, Prelim GDP Price Index q/q, 0.6%, 0.6%, 0.9%
Thu, 2013.02.28 14:45, 14:45, USD, medium, Chicago PMI, 55.6, 54.6, 56.8
Thu, 2013.02.28 15:30, 15:30, USD, low, Natural Gas Storage, -127B, -165B, -171B
Fri, 2013.03.01 5:30, 5:30, USD, medium, FOMC Member Raskin Speaks, , , 
Thu, 2013.02.28 21:45, 21:45, NZD, low, Overseas Trade Index q/q, -3.2%, 1.4%, -1.3%
Thu, 2013.02.28 22:24, 22:24, AUD, low, AIG Manufacturing Index, 40.2, , 45.6
Thu, 2013.02.28 23:30, 23:30, JPY, medium, Household Spending y/y, -0.7%, 0.4%, 2.4%
Thu, 2013.02.28 23:30, 23:30, JPY, medium, Tokyo Core CPI y/y, -0.5%, -0.6%, -0.6%
Thu, 2013.02.28 23:30, 23:30, JPY, low, National Core CPI y/y, -0.2%, -0.2%, -0.2%
Thu, 2013.02.28 23:30, 23:30, JPY, low, Unemployment Rate, 4.2%, 4.2%, 4.2%
Thu, 2013.02.28 23:50, 23:50, JPY, medium, Capital Spending q/y, 2.2%, -7.0%, -8.7%
Fri, 2013.03.01 0:59, 0:59, CNY, high, Manufacturing PMI, 50.4, 50.5, 50.1
Fri, 2013.03.01 1:00, 1:00, USD, medium, FOMC Member Evans Speaks, , , 
Fri, 2013.03.01 1:45, 1:45, CNY, medium, Caixin Manufacturing PMI, 50.4, 50.4, 50.4
Fri, 2013.03.01 17:30, 17:30, AUD, low, Commodity Prices y/y, -8.9%, , -7.2%
Fri, 2013.03.01 7:00, 7:00, EUR, medium, German Retail Sales m/m, -2.1%, 1.1%, 3.1%
Fri, 2013.03.01 7:00, 7:00, GBP, medium, Nationwide HPI m/m, 0.5%, 0.2%, 0.2%
Fri, 2013.03.01 8:15, 8:15, EUR, medium, Spanish Manufacturing PMI, 46.1, 46.3, 46.8
Fri, 2013.03.01 8:30, 8:30, CHF, medium, Manufacturing PMI, 52.5, 52.2, 50.8
Fri, 2013.03.01 8:45, 8:45, EUR, medium, Italian Manufacturing PMI, 47.8, 47.6, 45.8
Fri, 2013.03.01 8:50, 8:50, EUR, low, French Final Manufacturing PMI, 43.6, 43.6, 43.9
Fri, 2013.03.01 8:55, 8:55, EUR, low, German Final Manufacturing PMI, 50.1, 50.1, 50.3
Fri, 2013.03.01 9:00, 9:00, EUR, low, Final Manufacturing PMI, 47.8, 47.8, 47.9
Fri, 2013.03.01 9:00, 9:00, EUR, low, Italian Monthly Unemployment Rate, 11.3%, 11.1%, 11.7%
Fri, 2013.03.01 9:00, 9:00, EUR, low, Italian Quarterly Unemployment Rate, 10.7%, 10.8%, 11.2%
Fri, 2013.03.01 9:30, 9:30, GBP, high, Final Manufacturing PMI, 50.8, 51.0, 47.9
Fri, 2013.03.01 9:30, 9:30, GBP, medium, Net Lending to Individuals m/m, 1.8B, 1.1B, 0.6B
Fri, 2013.03.01 9:30, 9:30, GBP, low, M4 Money Supply m/m, 0.7%, 0.3%, 0.9%
Fri, 2013.03.01 9:30, 9:30, GBP, low, Mortgage Approvals, 56K, 57K, 55K
Fri, 2013.03.01 10:00, 10:00, EUR, medium, CPI Flash Estimate y/y, 2.0%, 2.0%, 1.8%
Fri, 2013.03.01 10:00, 10:00, EUR, medium, Unemployment Rate, 11.8%, 11.8%, 11.9%
Fri, 2013.03.01 10:00, 10:00, EUR, low, Italian Prelim CPI m/m, 0.2%, 0.3%, 0.1%
Fri, 2013.03.01 13:30, 13:30, CAD, high, GDP m/m, 0.3%, -0.2%, -0.2%
Fri, 2013.03.01 13:30, 13:30, USD, medium, Core PCE Price Index m/m, 0.0%, 0.1%, 0.1%
Fri, 2013.03.01 13:30, 13:30, USD, medium, Personal Spending m/m, 0.1%, 0.2%, 0.2%
Fri, 2013.03.01 13:30, 13:30, USD, low, Personal Income m/m, 2.6%, -2.3%, -3.6%
Fri, 2013.03.01 14:00, 14:00, USD, low, Final Manufacturing PMI, 55.2, 55.2, 54.3
Fri, 2013.03.01 14:30, 14:30, CAD, low, Manufacturing PMI, 50.5, , 51.7
Fri, 2013.03.01 14:55, 14:55, USD, medium, Revised UoM Consumer Sentiment, 76.3, 76.3, 77.6
Fri, 2013.03.01 14:55, 14:55, USD, low, Revised UoM Inflation Expectations, 3.3%, , 3.3%
Fri, 2013.03.01 15:00, 15:00, USD, high, ISM Manufacturing PMI, 53.1, 52.7, 54.2
Fri, 2013.03.01 15:00, 15:00, USD, low, Construction Spending m/m, 1.1%, 0.6%, -2.1%
Fri, 2013.03.01 15:00, 15:00, USD, low, ISM Manufacturing Prices, 56.5, 57.3, 61.5
Fri, 2013.03.01 5:00, 5:00, USD, low, Total Vehicle Sales, 15.3M, 15.1M, 15.4M
Fri, 2013.03.01 16:35, 16:35, USD, low, President Obama Speaks, , , 
Sat, 2013.03.02 3:00, 3:00, USD, high, Fed Chairman Bernanke Speaks, , , 
Mon, 2013.03.04 8:00, 8:00, EUR, high, Spanish Unemployment Change, 132.1K, 77.5K, 59.4K
Mon, 2013.03.04 5:00, 5:00, EUR, medium, Eurogroup Meetings, , , 
Mon, 2013.03.04 9:30, 9:30, EUR, low, Sentix Investor Confidence, -3.9, -4.5, -10.6
Mon, 2013.03.04 9:30, 9:30, GBP, high, Construction PMI, 48.7, 49.2, 46.8
Mon, 2013.03.04 10:00, 10:00, EUR, low, PPI m/m, -0.2%, 0.5%, 0.6%
Mon, 2013.03.04 13:00, 13:00, USD, medium, FOMC Member Yellen Speaks, , , 
Mon, 2013.03.04 18:15, 18:15, USD, medium, FOMC Member Powell Speaks, , , 
Mon, 2013.03.04 22:25, 22:25, AUD, low, AIG Services Index, 45.3, , 48.5
Tue, 2013.03.05 0:00, 0:00, GBP, medium, BRC Retail Sales Monitor y/y, 1.9%, , 2.7%
Tue, 2013.03.05 0:30, 0:30, AUD, high, Retail Sales m/m, -0.4%, 0.4%, 0.9%
Tue, 2013.03.05 0:30, 0:30, AUD, medium, Current Account, -15.0B, -15.4B, -14.7B
Tue, 2013.03.05 1:30, 1:30, JPY, medium, Average Cash Earnings y/y, -1.7%, -0.3%, 0.7%
Tue, 2013.03.05 1:45, 1:45, CNY, low, Caixin Services PMI, 54.0, , 52.1
Tue, 2013.03.05 3:30, 3:30, AUD, high, Cash Rate, 3.00%, 3.00%, 3.00%
Tue, 2013.03.05 3:30, 3:30, AUD, high, RBA Rate Statement, , , 
Tue, 2013.03.05 3:45, 3:45, JPY, low, 10-y Bond Auction, 0.80|2.8, , 0.64|2.4
Tue, 2013.03.05 8:15, 8:15, EUR, high, Spanish Services PMI, 47.0, 45.9, 44.7
Tue, 2013.03.05 8:45, 8:45, EUR, high, Italian Services PMI, 43.9, 43.6, 43.6
Tue, 2013.03.05 8:50, 8:50, EUR, low, French Final Services PMI, 42.7, 42.7, 42.7
Tue, 2013.03.05 8:55, 8:55, EUR, low, German Final Services PMI, 54.1, 54.1, 54.1
Tue, 2013.03.05 9:00, 9:00, EUR, low, Final Services PMI, 47.3, 47.3, 47.9
Tue, 2013.03.05 5:00, 5:00, EUR, medium, ECOFIN Meetings, , , 
Tue, 2013.03.05 9:30, 9:30, GBP, high, Final Services PMI, 51.5, 51.1, 51.8
Tue, 2013.03.05 10:00, 10:00, EUR, medium, Retail Sales m/m, -0.8%, 0.3%, 1.2%
Tue, 2013.03.05 13:30, 13:30, NZD, low, GDT Price Index, 4.1%, , 11.5%
Tue, 2013.03.05 15:00, 15:00, USD, high, ISM Services PMI, 55.2, 55.0, 56.0
Tue, 2013.03.05 15:00, 15:00, USD, low, IBD/TIPP Economic Optimism, 47.3, 47.8, 42.2
Wed, 2013.03.06 0:01, 0:01, GBP, low, BRC Shop Price Index y/y, 0.6%, , 1.1%
Wed, 2013.03.06 0:30, 0:30, AUD, high, GDP q/q, 0.7%, 0.6%, 0.6%
Wed, 2013.03.06 8:00, 8:00, GBP, medium, Halifax HPI m/m, -0.3%, 0.4%, 0.5%
Wed, 2013.03.06 9:45, 9:45, GBP, high, BOE Gov King Speaks, , , 
Wed, 2013.03.06 10:00, 10:00, EUR, low, Revised GDP q/q, -0.6%, -0.6%, -0.6%
Wed, 2013.03.06 13:15, 13:15, USD, high, ADP Non-Farm Employment Change, 215K, 172K, 198K
Wed, 2013.03.06 15:00, 15:00, CAD, high, BOC Rate Statement, , , 
Wed, 2013.03.06 15:00, 15:00, CAD, high, Ivey PMI, 58.9, 56.2, 51.1
Wed, 2013.03.06 15:00, 15:00, CAD, high, Overnight Rate, 1.00%, 1.00%, 1.00%
Wed, 2013.03.06 15:00, 15:00, USD, medium, Factory Orders m/m, 1.3%, -2.2%, -2.0%
Wed, 2013.03.06 15:30, 15:30, USD, medium, Crude Oil Inventories, 1.1M, 0.9M, 3.8M
Wed, 2013.03.06 19:00, 19:00, USD, medium, Beige Book, , , 
Wed, 2013.03.06 22:26, 22:26, AUD, low, AIG Construction Index, 36.2, , 45.6
Thu, 2013.03.07 0:30, 0:30, AUD, high, Trade Balance, -0.69B, -0.51B, -1.06B
Thu, 2013.03.07 3:24, 3:24, JPY, high, Monetary Policy Statement, , , 
Thu, 2013.03.07 3:24, 3:24, JPY, high, Overnight Call Rate, <0.10%, <0.10%, <0.10%
Thu, 2013.03.07 17:00, 17:00, JPY, low, Leading Indicators, 93.2%, 96.2%, 96.3%
Thu, 2013.03.07 6:45, 6:45, CHF, low, Unemployment Rate, 3.1%, 3.1%, 3.1%
Thu, 2013.03.07 7:32, 7:32, JPY, high, BOJ Press Conference, , , 
Thu, 2013.03.07 7:45, 7:45, EUR, low, French Trade Balance, -5.4B, -4.8B, -5.9B
Thu, 2013.03.07 8:00, 8:00, CHF, high, Foreign Currency Reserves, 430B, , 428B
Thu, 2013.03.07 9:00, 9:00, CHF, high, SNB Chairman Jordan Speaks, , , 
Thu, 2013.03.07 9:45, 9:45, EUR, high, Spanish 10-y Bond Auction, 5.20|1.6, , 4.92|2.3
Thu, 2013.03.07 9:59, 9:59, EUR, medium, French 10-y Bond Auction, 2.30|3.1, , 2.10|2.2
Thu, 2013.03.07 11:00, 11:00, EUR, medium, German Factory Orders m/m, 1.1%, 0.6%, -1.9%
Thu, 2013.03.07 12:00, 12:00, GBP, high, Asset Purchase Facility, 375B, 375B, 375B
Thu, 2013.03.07 12:00, 12:00, GBP, high, Official Bank Rate, 0.50%, 0.50%, 0.50%
Thu, 2013.03.07 12:30, 12:30, USD, low, Challenger Job Cuts y/y, -24.4%, , 7.0%
Thu, 2013.03.07 12:45, 12:45, EUR, high, Main Refinancing Rate, 0.75%, 0.75%, 0.75%
Thu, 2013.03.07 13:30, 13:30, CAD, high, Building Permits m/m, -10.4%, 5.4%, 1.7%
Thu, 2013.03.07 13:30, 13:30, CAD, high, Trade Balance, -0.3B, -0.6B, -0.2B
Thu, 2013.03.07 13:30, 13:30, EUR, high, ECB Press Conference, , , 
Thu, 2013.03.07 13:30, 13:30, USD, high, Trade Balance, -38.1B, -42.8B, -44.4B
Thu, 2013.03.07 13:30, 13:30, USD, high, Unemployment Claims, 347K, 354K, 340K
Thu, 2013.03.07 13:30, 13:30, USD, medium, Revised Nonfarm Productivity q/q, -2.0%, -1.6%, -1.9%
Thu, 2013.03.07 13:30, 13:30, USD, low, Revised Unit Labor Costs q/q, 4.5%, 4.4%, 4.6%
Thu, 2013.03.07 15:30, 15:30, USD, low, Natural Gas Storage, -171B, -135B, -146B
Thu, 2013.03.07 18:15, 18:15, USD, medium, FOMC Member Powell Speaks, , , 
Thu, 2013.03.07 20:00, 20:00, USD, low, Consumer Credit m/m, 15.1B, 15.2B, 16.2B
Thu, 2013.03.07 21:30, 21:30, USD, medium, Bank Stress Test Results, , , 
Thu, 2013.03.07 21:45, 21:45, NZD, low, Manufacturing Sales q/q, 1.7%, , 0.0%
Thu, 2013.03.07 23:50, 23:50, JPY, high, Current Account, 0.11T, 0.11T, 0.36T
Thu, 2013.03.07 23:50, 23:50, JPY, medium, Final GDP q/q, -0.1%, -0.1%, 0.0%
Thu, 2013.03.07 23:50, 23:50, JPY, low, Bank Lending y/y, 1.3%, , 1.5%
Thu, 2013.03.07 23:50, 23:50, JPY, low, Final GDP Price Index y/y, -0.6%, -0.6%, -0.7%
Fri, 2013.03.08 2:02, 2:02, CNY, high, USD-Denominated Trade Balance, 29.2B, -8.8B, 15.3B
Fri, 2013.03.08 3:45, 3:45, JPY, low, 30-y Bond Auction, 1.99|3.5, , 1.82|3.3
Fri, 2013.03.08 17:00, 17:00, JPY, low, BOJ Monthly Report, , , 
Fri, 2013.03.08 17:00, 17:00, JPY, low, Economy Watchers Sentiment, 49.5, 51.2, 53.2
Fri, 2013.03.08 7:45, 7:45, EUR, low, French Gov Budget Balance, -87.2B, , -12.8B
Fri, 2013.03.08 8:15, 8:15, CHF, high, CPI m/m, -0.3%, -0.3%, 0.3%
Fri, 2013.03.08 9:30, 9:30, GBP, medium, Consumer Inflation Expectations, 3.5%, , 3.6%
Fri, 2013.03.08 11:00, 11:00, EUR, medium, German Industrial Production m/m, 0.6%, 0.6%, 0.0%
Fri, 2013.03.08 13:13, 13:13, CAD, low, Housing Starts, 159K, 173K, 181K
Fri, 2013.03.08 13:30, 13:30, CAD, high, Employment Change, -21.9K, 7.8K, 50.7K
Fri, 2013.03.08 13:30, 13:30, CAD, high, Unemployment Rate, 7.0%, 7.1%, 7.0%
Fri, 2013.03.08 13:30, 13:30, CAD, medium, Labor Productivity q/q, -0.4%, -0.1%, 0.1%
Fri, 2013.03.08 13:30, 13:30, USD, high, Non-Farm Employment Change, 119K, 162K, 236K
Fri, 2013.03.08 13:30, 13:30, USD, high, Unemployment Rate, 7.9%, 7.9%, 7.7%
Fri, 2013.03.08 13:30, 13:30, USD, medium, Average Hourly Earnings m/m, 0.1%, 0.2%, 0.2%
Fri, 2013.03.08 15:00, 15:00, USD, low, Final Wholesale Inventories m/m, 0.1%, 0.4%, 1.2%
Sat, 2013.03.09 1:00, 1:00, USD, low, FOMC Member Duke Speaks, , , 
Sat, 2013.03.09 1:30, 1:30, CNY, high, CPI y/y, 2.0%, 3.0%, 3.2%
Sat, 2013.03.09 1:30, 1:30, CNY, medium, PPI y/y, -1.6%, -1.5%, -1.6%
Mon, 2013.03.11 7:03, 7:03, JPY, low, Prelim Machine Tool Orders y/y, -26.4%, , -21.5%
Mon, 2013.03.11 8:00, 8:00, EUR, low, German Trade Balance, 16.9B, 17.9B, 15.7B
Mon, 2013.03.11 8:45, 8:45, EUR, medium, French Industrial Production m/m, 0.9%, -0.1%, -1.2%
Mon, 2013.03.11 9:15, 9:15, CHF, medium, Retail Sales y/y, 4.7%, 3.7%, 1.9%
Tue, 2013.03.12 0:50, 0:50, JPY, medium, BSI Manufacturing Index, -10.3, -6.2, -4.6
Tue, 2013.03.12 0:50, 0:50, JPY, medium, Monetary Policy Meeting Minutes, , , 
Tue, 2013.03.12 0:50, 0:50, JPY, medium, Tertiary Industry Activity m/m, 1.1%, -0.1%, -1.1%
Tue, 2013.03.12 0:50, 0:50, JPY, low, PPI y/y, -0.3%, -0.1%, -0.1%
Tue, 2013.03.12 1:01, 1:01, GBP, medium, RICS House Price Balance, -4%, -1%, -6%
Tue, 2013.03.12 1:27, 1:27, NZD, medium, REINZ HPI m/m, -1.0%, , 1.6%
Tue, 2013.03.12 1:30, 1:30, AUD, medium, NAB Business Confidence, 3, , 1
Tue, 2013.03.12 6:00, 6:00, JPY, low, Consumer Confidence, 43.3, 43.0, 44.3
Tue, 2013.03.12 8:00, 8:00, EUR, low, German Final CPI m/m, 0.6%, 0.6%, 0.6%
Tue, 2013.03.12 8:00, 8:00, EUR, low, German WPI m/m, 0.3%, 0.4%, 0.1%
Tue, 2013.03.12 10:30, 10:30, GBP, high, Manufacturing Production m/m, 1.5%, 0.0%, -1.5%
Tue, 2013.03.12 10:30, 10:30, GBP, medium, Goods Trade Balance, -8.7B, -8.8B, -8.2B
Tue, 2013.03.12 10:30, 10:30, GBP, low, Industrial Production m/m, 1.1%, 0.1%, -1.2%
Tue, 2013.03.12 12:30, 12:30, USD, low, NFIB Small Business Index, 88.9, 91.3, 90.8
Tue, 2013.03.12 15:57, 15:57, GBP, medium, NIESR GDP Estimate, -0.2%, , -0.1%
Tue, 2013.03.12 16:00, 16:00, USD, medium, JOLTS Job Openings, 3.61M, 3.67M, 3.69M
Tue, 2013.03.12 22:45, 22:45, NZD, low, FPI m/m, 1.9%, , -0.3%
Wed, 2013.03.13 0:30, 0:30, AUD, medium, Westpac Consumer Sentiment, 7.7%, , 2.0%
Wed, 2013.03.13 1:30, 1:30, AUD, medium, Home Loans m/m, -2.1%, 0.2%, -1.5%
Wed, 2013.03.13 7:30, 7:30, EUR, low, French Final Private Payrolls q/q, -0.2%, -0.2%, -0.3%
Wed, 2013.03.13 8:45, 8:45, EUR, low, French Final CPI m/m, -0.5%, 0.5%, 0.3%
Wed, 2013.03.13 11:00, 11:00, EUR, medium, Industrial Production m/m, 0.9%, -0.1%, -0.4%
Wed, 2013.03.13 13:30, 13:30, USD, high, Core Retail Sales m/m, 0.4%, 0.5%, 1.0%
Wed, 2013.03.13 13:30, 13:30, USD, high, Retail Sales m/m, 0.2%, 0.5%, 1.1%
